1,60,0,0.000329207,0.001020846
1,80,0,0.000383907,0.002545779
2,-80,0,0.007273545,0.000199703
2,-60,0,0.008931799,0.000214933
2,-40,0,0.004100439,0.000431092
2,-20,0,0.001130459,0.000196104
2,0,0,0.000301409,0.000445433
2,20,0,0.000422283,0.000621970
2,40,0,0.000580230,0.000890800
2,60,0,0.000399273,0.001206332
2,80,0,0.001182273,0.009792623
3,-80,0,0.003537920,0.000344444
3,-60,0,0.004343775,0.000192187
3,-40,0,0.001456615,0.000188117
3,-20,0,0.000657201,0.000178476
3,0,0,0.000298557,0.000310175
3,20,0,0.000443167,0.000789036
3,40,0,0.000344891,0.000571049
3,60,0,0.000605652,0.001699800
3,80,0,0.001070700,0.004254861
